symbol,asOfDate,TotalRevenue,GrossProfit,CostOfRevenue,DilutedNIAvailtoComStockholders,EBIT,EBITDA,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,StockholdersEquity,TotalAssets,capitalAdequacyRatio,ROE
1301.T,2020-03-31,262519000000.0,24245000000.0,238274000000.0,2037000000.0,3458000000.0,0,446000000.0,446000000.0,8000000.0,8000000.0,2037000000.0,2037000000.0,1676000000.0,2037000000.0,1675000000.0,-438000000.0,-438000000.0,5958000000.0,2450504800.0,21326000000.0,2919000000.0,262519000000.0,691000000.0,3012000000.0,238274000000.0,1904000000.0,-182495200.0,1336000000.0,0.3062,259600000000.0,2918000000.0,-596000000.0,-596000000.0,32717000000.0,111178000000.0,0.2942758459407437,0.06226120976862182
1301.T,2021-03-31,249197000000.0,25576000000.0,223620000000.0,3838000000.0,6008000000.0,0,387000000.0,387000000.0,6000000.0,6000000.0,3838000000.0,3838000000.0,3669000000.0,3838000000.0,3668000000.0,-381000000.0,-381000000.0,7195000000.0,3345638000.0,20917000000.0,4659000000.0,249197000000.0,215000000.0,5621000000.0,223620000000.0,1941000000.0,261638000.0,1952000000.0,0.347,244537000000.0,4657000000.0,754000000.0,754000000.0,40381000000.0,116324000000.0,0.34714246415185174,0.09504469923974146
1301.T,2022-03-31,253575000000.0,28016000000.0,225558000000.0,4634000000.0,7116000000.0,0,391000000.0,391000000.0,2000000.0,2000000.0,4634000000.0,4634000000.0,4601000000.0,4634000000.0,4601000000.0,-389000000.0,-389000000.0,9011000000.0,4675049814.126394,21623000000.0,6393000000.0,253575000000.0,259000000.0,6725000000.0,225558000000.0,1835000000.0,-18950185.873606,2124000000.0,0.315836,247181000000.0,6392000000.0,-60000000.0,-60000000.0,42704000000.0,130451000000.0,0.327356631992089,0.10851442487823154
1301.T,2023-03-31,272167000000.0,31027000000.0,241139000000.0,5782000000.0,8907000000.0,0,504000000.0,504000000.0,2000000.0,2000000.0,5782000000.0,5782000000.0,5739000000.0,5782000000.0,5738000000.0,-502000000.0,-502000000.0,10818000000.0,5540911460.192788,22921000000.0,8106000000.0,272167000000.0,218000000.0,8403000000.0,241139000000.0,2264000000.0,111911460.192788,2664000000.0,0.31703,264060000000.0,8105000000.0,353000000.0,353000000.0,47541000000.0,146294000000.0,0.3249688982459978,0.12162133737195263
1447.T,2020-03-31,21224761000.0,5610306000.0,15614454000.0,83156000.0,377941000.0,0,55222000.0,55222000.0,1843000.0,1843000.0,83156000.0,83156000.0,99063000.0,83156000.0,99062000.0,-53379000.0,-53379000.0,733827000.0,-53578104.0,5454480000.0,155826000.0,21224761000.0,43289000.0,322719000.0,15614454000.0,552966000.0,60345896.0,223656000.0,0.3062,21068934000.0,155826000.0,197080000.0,197080000.0,2430260000.0,12983534000.0,0.18718016219620945,0.034216915062585895
1447.T,2021-03-31,22830151000.0,6507225000.0,16322926000.0,-358005000.0,-1495000.0,0,58838000.0,58838000.0,3071000.0,3071000.0,-358005000.0,-358005000.0,-349616000.0,-358005000.0,-349617000.0,-55767000.0,-55767000.0,835007000.0,-180841088.6,6354786000.0,152439000.0,22830151000.0,75387000.0,-60333000.0,16322926000.0,581149000.0,-78189088.6,289283000.0,0.3062,22677712000.0,152439000.0,-255353000.0,-255353000.0,2865564000.0,15286296000.0,0.18745966975910971,-0.12493352094038032
1447.T,2022-03-31,26286226000.0,6519313000.0,19766912000.0,-935886000.0,-423054000.0,0,70045000.0,70045000.0,1959000.0,1959000.0,-935886000.0,-935886000.0,-909468000.0,-935886000.0,-909468000.0,-68086000.0,-68086000.0,814902000.0,-632878200.0,6422278000.0,97035000.0,26286226000.0,-72005000.0,-493099000.0,19766912000.0,732943000.0,-202005200.0,416369000.0,0.4,26189190000.0,97034000.0,-505013000.0,-505013000.0,2097473000.0,18228135000.0,0.11506788818494047,-0.4461969236314365
1447.T,2023-03-31,30528153000.0,7813924000.0,22714228000.0,162492000.0,644614000.0,0,87435000.0,87435000.0,869000.0,869000.0,162492000.0,162492000.0,192654000.0,162492000.0,192653000.0,-86566000.0,-86566000.0,1507891000.0,252396000.0,7074499000.0,739425000.0,30528153000.0,-12386000.0,557179000.0,22714228000.0,713437000.0,-59936000.0,364525000.0,0.4,29788727000.0,739425000.0,-149840000.0,-149840000.0,2631328000.0,16771396000.0,0.15689379703394996,0.06175284875165696
1450.T,2020-03-31,6662518000.0,1409458000.0,5253059000.0,551605000.0,833801000.0,0,1782000.0,1782000.0,7888000.0,7888000.0,551605000.0,551605000.0,551606000.0,551605000.0,551605000.0,6084000.0,6084000.0,849832000.0,545484847.0,613191000.0,796267000.0,6662518000.0,20441000.0,832019000.0,5253059000.0,25262000.0,3110847.0,280413000.0,0.337,5866250000.0,796263000.0,9231000.0,9231000.0,3946995000.0,5219797000.0,0.7561587165171366,0.1397531539817
1450.T,2021-03-31,9011368000.0,2080034000.0,6931333000.0,982268000.0,1460924000.0,0,2026000.0,2026000.0,8159000.0,8159000.0,982268000.0,982268000.0,982269000.0,982268000.0,982268000.0,6133000.0,6133000.0,1488645000.0,982176336.0,646183000.0,1433851000.0,9011368000.0,18782000.0,1458898000.0,6931333000.0,27857000.0,44336.0,476629000.0,0.326,7577516000.0,1433847000.0,136000.0,136000.0,4781587000.0,7009460000.0,0.6821619639744003,0.20542719394209497
